id,order_id,item_id,customer_id,units,payment_id,order_type,ts,staff_id
64,6,15,4,4,594,Pickup,2022-06-23 16:08:17,5
65,6,19,4,3,594,Delivery,2022-06-23 16:08:17,5
66,6,2,4,5,594,Delivery,2022-06-23 16:08:17,5
67,6,9,4,5,594,Pickup,2022-06-23 16:08:17,5
68,6,1,4,3,594,Pickup,2022-06-23 16:08:17,5
69,6,13,4,4,594,Delivery,2022-06-23 16:08:17,5
70,9,16,5,2,476,Delivery,2022-06-22 06:42:02,6
71,9,14,5,4,476,Delivery,2022-06-22 06:42:02,6
72,32,16,9,4,246,Pickup,2022-06-03 06:19:35,5
73,32,7,9,1,246,Pickup,2022-06-03 06:19:35,5
74,32,18,9,2,246,Delivery,2022-06-03 06:19:35,5
75,32,8,9,2,246,Pickup,2022-06-03 06:19:35,5
76,32,11,9,4,246,Delivery,2022-06-03 06:19:35,5
77,32,6,9,3,246,Delivery,2022-06-03 06:19:35,5
78,32,15,9,5,246,Pickup,2022-06-03 06:19:35,5
79,23,5,1,4,806,Delivery,2022-06-20 12:13:24,1
80,23,19,1,2,806,Delivery,2022-06-20 12:13:24,1
81,23,4,1,1,806,Pickup,2022-06-20 12:13:24,1
82,23,16,1,1,806,Pickup,2022-06-20 12:13:24,1
83,37,7,6,3,384,Delivery,2022-06-20 07:06:02,3
84,37,8,6,3,384,Delivery,2022-06-20 07:06:02,3
85,2,5,9,2,134,Delivery,2022-06-21 05:55:54,4
86,2,14,9,3,134,Delivery,2022-06-21 05:55:54,4
87,2,2,9,3,134,Delivery,2022-06-21 05:55:54,4
88,2,4,9,5,134,Pickup,2022-06-21 05:55:54,4
89,2,9,9,3,134,Delivery,2022-06-21 05:55:54,4
90,2,17,9,1,134,Pickup,2022-06-21 05:55:54,4
91,2,10,9,4,134,Pickup,2022-06-21 05:55:54,4
92,2,13,9,3,134,Delivery,2022-06-21 05:55:54,4
93,2,1,9,4,134,Delivery,2022-06-21 05:55:54,4
94,20,8,2,5,187,Delivery,2022-06-09 18:26:47,4
95,20,20,2,5,187,Delivery,2022-06-09 18:26:47,4
96,20,12,2,1,187,Pickup,2022-06-09 18:26:47,4
97,20,19,2,4,187,Pickup,2022-06-09 18:26:47,4
98,20,4,2,1,187,Pickup,2022-06-09 18:26:47,4
99,20,11,2,5,187,Pickup,2022-06-09 18:26:47,4
100,20,14,2,1,187,Delivery,2022-06-09 18:26:47,4
101,20,17,2,2,187,Pickup,2022-06-09 18:26:47,4
102,20,5,2,5,187,Pickup,2022-06-09 18:26:47,4
103,40,14,3,1,850,Pickup,2022-06-21 09:30:17,4
104,40,13,3,5,850,Pickup,2022-06-21 09:30:17,4
105,40,19,3,1,850,Delivery,2022-06-21 09:30:17,4
106,40,2,3,5,850,Pickup,2022-06-21 09:30:17,4
107,40,15,3,5,850,Delivery,2022-06-21 09:30:17,4
108,40,8,3,5,850,Pickup,2022-06-21 09:30:17,4
109,40,20,3,3,850,Pickup,2022-06-21 09:30:17,4
110,40,16,3,2,850,Delivery,2022-06-21 09:30:17,4
111,40,7,3,2,850,Pickup,2022-06-21 09:30:17,4
112,40,5,3,3,850,Delivery,2022-06-21 09:30:17,4
113,25,20,4,1,742,Delivery,2022-06-18 23:43:21,4
114,25,5,4,4,742,Delivery,2022-06-18 23:43:21,4
115,25,8,4,4,742,Delivery,2022-06-18 23:43:21,4
116,25,10,4,2,742,Delivery,2022-06-18 23:43:21,4
117,25,13,4,4,742,Delivery,2022-06-18 23:43:21,4
118,38,9,12,2,491,Pickup,2022-06-03 17:54:40,2
119,38,1,12,5,491,Pickup,2022-06-03 17:54:40,2
120,21,8,2,3,712,Delivery,2022-06-06 10:52:22,1
121,21,10,2,3,712,Delivery,2022-06-06 10:52:22,1
122,21,11,2,1,712,Delivery,2022-06-06 10:52:22,1
123,21,19,2,3,712,Delivery,2022-06-06 10:52:22,1
124,21,12,2,3,712,Pickup,2022-06-06 10:52:22,1
125,21,5,2,3,712,Delivery,2022-06-06 10:52:22,1
126,21,9,2,2,712,Delivery,2022-06-06 10:52:22,1
127,13,12,8,1,508,Delivery,2022-06-12 06:52:30,1
128,35,12,2,1,826,Delivery,2022-06-20 21:22:03,2
129,35,20,2,5,826,Pickup,2022-06-20 21:22:03,2
130,12,14,3,5,851,Pickup,2022-06-01 10:59:27,4
131,12,16,3,1,851,Pickup,2022-06-01 10:59:27,4
132,12,20,3,5,851,Delivery,2022-06-01 10:59:27,4
133,12,8,3,2,851,Delivery,2022-06-01 10:59:27,4
134,12,1,3,4,851,Delivery,2022-06-01 10:59:27,4
135,12,7,3,5,851,Delivery,2022-06-01 10:59:27,4
136,12,9,3,1,851,Delivery,2022-06-01 10:59:27,4
137,34,12,10,5,914,Delivery,2022-06-08 14:18:12,5
138,34,5,10,5,914,Delivery,2022-06-08 14:18:12,5
139,34,15,10,3,914,Delivery,2022-06-08 14:18:12,5
140,34,13,10,2,914,Delivery,2022-06-08 14:18:12,5
141,30,15,8,3,160,Pickup,2022-06-18 23:17:55,4
142,30,19,8,5,160,Delivery,2022-06-18 23:17:55,4
143,30,13,8,2,160,Delivery,2022-06-18 23:17:55,4
144,26,9,1,1,751,Delivery,2022-06-18 05:00:28,4
145,26,8,1,3,751,Delivery,2022-06-18 05:00:28,4
146,26,18,1,1,751,Delivery,2022-06-18 05:00:28,4
147,33,18,9,1,273,Pickup,2022-06-24 13:15:33,5
148,33,19,9,2,273,Delivery,2022-06-24 13:15:33,5
149,33,4,9,5,273,Delivery,2022-06-24 13:15:33,5
150,33,6,9,3,273,Pickup,2022-06-24 13:15:33,5
151,33,17,9,4,273,Pickup,2022-06-24 13:15:33,5
152,33,15,9,1,273,Pickup,2022-06-24 13:15:33,5
153,33,16,9,4,273,Delivery,2022-06-24 13:15:33,5
154,16,17,8,3,968,Delivery,2022-06-17 10:27:33,4
155,16,15,8,4,968,Delivery,2022-06-17 10:27:33,4
156,16,16,8,3,968,Pickup,2022-06-17 10:27:33,4
157,29,2,5,1,394,Pickup,2022-06-09 08:21:28,1
158,29,9,5,1,394,Delivery,2022-06-09 08:21:28,1
159,29,15,5,2,394,Pickup,2022-06-09 08:21:28,1
160,29,7,5,2,394,Pickup,2022-06-09 08:21:28,1
161,29,18,5,5,394,Pickup,2022-06-09 08:21:28,1
162,29,4,5,2,394,Delivery,2022-06-09 08:21:28,1
163,29,8,5,3,394,Pickup,2022-06-09 08:21:28,1
164,29,10,5,4,394,Pickup,2022-06-09 08:21:28,1
165,29,5,5,1,394,Pickup,2022-06-09 08:21:28,1
166,29,3,5,3,394,Delivery,2022-06-09 08:21:28,1
167,19,16,1,3,460,Delivery,2022-06-08 23:45:54,1
168,39,7,1,2,97,Delivery,2022-06-10 14:05:06,4
169,39,10,1,4,97,Pickup,2022-06-10 14:05:06,4
170,39,2,1,4,97,Pickup,2022-06-10 14:05:06,4
171,39,8,1,1,97,Pickup,2022-06-10 14:05:06,4
172,39,5,1,5,97,Pickup,2022-06-10 14:05:06,4
173,8,11,7,4,328,Delivery,2022-06-13 11:39:45,4
174,8,5,7,4,328,Delivery,2022-06-13 11:39:45,4
175,8,10,7,5,328,Pickup,2022-06-13 11:39:45,4
176,8,20,7,3,328,Delivery,2022-06-13 11:39:45,4
177,8,13,7,5,328,Delivery,2022-06-13 11:39:45,4
178,8,15,7,5,328,Pickup,2022-06-13 11:39:45,4
179,8,2,7,4,328,Delivery,2022-06-13 11:39:45,4
180,14,12,2,4,644,Delivery,2022-06-24 06:14:43,4
181,14,1,2,5,644,Delivery,2022-06-24 06:14:43,4
182,14,10,2,5,644,Pickup,2022-06-24 06:14:43,4
183,14,2,2,4,644,Delivery,2022-06-24 06:14:43,4
184,14,4,2,2,644,Pickup,2022-06-24 06:14:43,4
185,14,20,2,1,644,Pickup,2022-06-24 06:14:43,4
186,14,17,2,4,644,Delivery,2022-06-24 06:14:43,4
187,14,8,2,4,644,Delivery,2022-06-24 06:14:43,4
188,14,19,2,2,644,Pickup,2022-06-24 06:14:43,4
189,14,16,2,1,644,Pickup,2022-06-24 06:14:43,4
190,15,6,11,2,915,Pickup,2022-06-18 19:15:01,6
191,15,9,11,1,915,Delivery,2022-06-18 19:15:01,6
192,18,16,11,5,65,Delivery,2022-06-24 19:41:43,2
193,1,10,7,5,17,Delivery,2022-06-14 18:39:44,3
194,1,15,7,2,17,Delivery,2022-06-14 18:39:44,3
195,1,20,7,1,17,Pickup,2022-06-14 18:39:44,3
196,1,8,7,2,17,Delivery,2022-06-14 18:39:44,3
197,27,12,7,3,805,Pickup,2022-06-16 13:35:08,3
198,27,2,7,4,805,Pickup,2022-06-16 13:35:08,3
199,27,10,7,4,805,Delivery,2022-06-16 13:35:08,3
200,27,1,7,4,805,Delivery,2022-06-16 13:35:08,3
201,27,18,7,1,805,Delivery,2022-06-16 13:35:08,3
202,27,17,7,3,805,Delivery,2022-06-16 13:35:08,3
203,27,7,7,5,805,Delivery,2022-06-16 13:35:08,3
204,27,8,7,5,805,Delivery,2022-06-16 13:35:08,3
205,22,19,7,5,152,Delivery,2022-06-05 11:22:22,4
206,22,16,7,5,152,Delivery,2022-06-05 11:22:22,4
